seed_id,case_group,case_type,article,item_no,name,legal_basis,source_document,source_url,chapter,chapter_name,notes
HC_D30_1,Hành chính,Khiếu kiện hành chính,30,1,"Khiếu kiện quyết định hành chính, hành vi hành chính, trừ quyết định/hành vi thuộc bí mật nhà nước về quốc phòng, an ninh, ngoại giao; quyết định/hành vi của Tòa án trong áp dụng biện pháp xử lý hành chính, xử lý hành vi cản trở tố tụng; quyết định/hành vi nội bộ","Điều 30 Luật Tố tụng hành chính, khoản/mục 1",Luật Tố tụng hành chính - VBHN 109/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/109-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HC_D30_2,Hành chính,Khiếu kiện hành chính,30,2,Khiếu kiện quyết định kỷ luật buộc thôi việc công chức giữ chức vụ dưới Thứ trưởng và dưới tương đương Thứ trưởng,"Điều 30 Luật Tố tụng hành chính, khoản/mục 2",Luật Tố tụng hành chính - VBHN 109/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/109-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HC_D30_3,Hành chính,Khiếu kiện hành chính,30,3,"Khiếu kiện quyết định giải quyết khiếu nại về quyết định xử lý vụ việc cạnh tranh, quyết định giải quyết khiếu nại trong hoạt động kiểm toán nhà nước","Điều 30 Luật Tố tụng hành chính, khoản/mục 3",Luật Tố tụng hành chính - VBHN 109/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/109-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HC_D30_4,Hành chính,Khiếu kiện hành chính,30,4,Khiếu kiện danh sách cử tri,"Điều 30 Luật Tố tụng hành chính, khoản/mục 4",Luật Tố tụng hành chính - VBHN 109/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/109-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
